"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","protein_id","protein_name"
"prot-a-960","ieu-b-40","body mass index || id:ieu-b-40","Ephrin type-B receptor 2 || id:prot-a-960","Wald ratio",1,-0.00241280982671639,0.00658039043649923,0.713867673474997,"prot-a-960","Ephrin type-B receptor 2"
"prot-a-981","ieu-b-40","body mass index || id:ieu-b-40","Erythroid membrane-associated protein || id:prot-a-981","Wald ratio",1,0.00360880548538434,0.00938289426199928,0.700522394103849,"prot-a-981","Erythroid membrane-associated protein"
"prot-a-97","ieu-b-40","body mass index || id:ieu-b-40","Angiopoietin-related protein 1 || id:prot-a-97","Wald ratio",1,0.00166266395714022,0.00332532791428044,0.617075077451974,"prot-a-97","Angiopoietin-related protein 1"
"prot-a-951","ieu-b-40","body mass index || id:ieu-b-40","Ectonucleoside triphosphate diphosphohydrolase 1 || id:prot-a-951","Wald ratio",1,-0.00929368029739777,0.00836431226765799,0.266520525805011,"prot-a-951","Ectonucleoside triphosphate diphosphohydrolase 1"
"prot-a-911","ieu-b-40","body mass index || id:ieu-b-40","EH domain-binding protein 1 || id:prot-a-911","Wald ratio",1,0.0250836120401338,0.00982441471571906,0.0106740794045192,"prot-a-911","EH domain-binding protein 1"
"prot-a-935","ieu-b-40","body mass index || id:ieu-b-40","ER membrane protein complex subunit 1 || id:prot-a-935","Wald ratio",1,-0.00168350168350168,0.005331088664422,0.752162308378054,"prot-a-935","ER membrane protein complex subunit 1"
"prot-a-972","ieu-b-40","body mass index || id:ieu-b-40","Endoplasmic reticulum aminopeptidase 2 || id:prot-a-972","Inverse variance weighted",2,0.00407771171265216,0.00160067307712214,0.0108498426462156,"prot-a-972","Endoplasmic reticulum aminopeptidase 2"
"prot-a-974","ieu-b-40","body mass index || id:ieu-b-40","Receptor tyrosine-protein kinase erbB-3 || id:prot-a-974","Wald ratio",1,0.0966216216216216,0.0121621621621622,1.95063024679946e-15,"prot-a-974","Receptor tyrosine-protein kinase erbB-3"
"prot-a-755","ieu-b-40","body mass index || id:ieu-b-40","Cytoglobin || id:prot-a-755","Wald ratio",1,0.0202372644801116,0.0125610607117934,0.107155507032273,"prot-a-755","Cytoglobin"
"prot-a-431","ieu-b-40","body mass index || id:ieu-b-40","Programmed cell death 1 ligand 1 || id:prot-a-431","Wald ratio",1,-0.00465386852821408,0.0116346713205352,0.689156516779352,"prot-a-431","Programmed cell death 1 ligand 1"
"prot-a-422","ieu-b-40","body mass index || id:ieu-b-40","OX-2 membrane glycoprotein || id:prot-a-422","Wald ratio",1,-0.0227152667723191,0.0121500264131009,0.0615442192008072,"prot-a-422","OX-2 membrane glycoprotein"
"prot-a-629","ieu-b-40","body mass index || id:ieu-b-40","Collectin-12 || id:prot-a-629","Wald ratio",1,-0.0099009900990099,0.0094059405940594,0.292509878183886,"prot-a-629","Collectin-12"
"prot-a-476","ieu-b-40","body mass index || id:ieu-b-40","Serine/threonine-protein kinase MRCK beta || id:prot-a-476","Wald ratio",1,-0.0331168831168831,0.011038961038961,0.00269979606326019,"prot-a-476","Serine/threonine-protein kinase MRCK beta"
"prot-a-467","ieu-b-40","body mass index || id:ieu-b-40","T-cell surface glycoprotein CD8 beta chain || id:prot-a-467","Inverse variance weighted",2,0.00942978612147361,0.0170462476406333,0.580134422794197,"prot-a-467","T-cell surface glycoprotein CD8 beta chain"
"prot-a-760","ieu-b-40","body mass index || id:ieu-b-40","Cytohesin-4 || id:prot-a-760","Inverse variance weighted",2,0.00619811251941622,0.00861547693220301,0.471884600896683,"prot-a-760","Cytohesin-4"
"prot-a-554","ieu-b-40","body mass index || id:ieu-b-40","Carbohydrate sulfotransferase 1 || id:prot-a-554","Wald ratio",1,0.000513347022587269,0.0102669404517454,0.960122388323255,"prot-a-554","Carbohydrate sulfotransferase 1"
"prot-a-718","ieu-b-40","body mass index || id:ieu-b-40","Cathepsin B || id:prot-a-718","Wald ratio",1,-0.0155440414507772,0.00471031559114461,0.000966848284767553,"prot-a-718","Cathepsin B"
"prot-a-54","ieu-b-40","body mass index || id:ieu-b-40","Advanced glycosylation end product-specific receptor, soluble || id:prot-a-54","MR Egger",3,0.0153411002812521,0.201869667498248,0.951712847495149,"prot-a-54","Advanced glycosylation end product-specific receptor, soluble"
"prot-a-54","ieu-b-40","body mass index || id:ieu-b-40","Advanced glycosylation end product-specific receptor, soluble || id:prot-a-54","Weighted median",3,0.0335062723364197,0.00828559433950697,5.25650870621352e-05,"prot-a-54","Advanced glycosylation end product-specific receptor, soluble"
"prot-a-54","ieu-b-40","body mass index || id:ieu-b-40","Advanced glycosylation end product-specific receptor, soluble || id:prot-a-54","Inverse variance weighted",3,0.0173647262394442,0.0178023990017949,0.329354467871921,"prot-a-54","Advanced glycosylation end product-specific receptor, soluble"
"prot-a-54","ieu-b-40","body mass index || id:ieu-b-40","Advanced glycosylation end product-specific receptor, soluble || id:prot-a-54","Simple mode",3,0.0344127777019875,0.00869150122321441,0.058269887315415,"prot-a-54","Advanced glycosylation end product-specific receptor, soluble"
