"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","protein_id","protein_name"
"prot-a-2135","R12_amyloidosis","R12_E4_AMYLNAS","Out at first protein homolog || id:prot-a-2135","Wald ratio",1,-0.259556924882629,0.168521126760563,0.123510618770481,"prot-a-2135","Out at first protein homolog"
"prot-a-2272","R12_amyloidosis","R12_E4_AMYLNAS","Paired immunoglobulin-like type 2 receptor alpha || id:prot-a-2272","Wald ratio",1,-0.138725848563969,0.277426457789382,0.617043048081044,"prot-a-2272","Paired immunoglobulin-like type 2 receptor alpha"
"prot-a-2089","R12_amyloidosis","R12_E4_AMYLNAS","Mineralocorticoid receptor || id:prot-a-2089","Wald ratio",1,-0.221875644854738,0.204195764322563,0.277221144299407,"prot-a-2089","Mineralocorticoid receptor"
"prot-a-1998","R12_amyloidosis","R12_E4_AMYLNAS","Nicotinamide phosphoribosyltransferase || id:prot-a-1998","Wald ratio",1,-0.173360751295337,0.162384930915371,0.285704876968516,"prot-a-1998","Nicotinamide phosphoribosyltransferase"
"prot-a-2171","R12_amyloidosis","R12_E4_AMYLNAS","Serine/threonine-protein kinase PAK 7 || id:prot-a-2171","Wald ratio",1,0.669075014100395,0.429697123519458,0.11945026801455,"prot-a-2171","Serine/threonine-protein kinase PAK 7"
"prot-a-2009","R12_amyloidosis","R12_E4_AMYLNAS","Neutrophil cytosol factor 2 || id:prot-a-2009","MR Egger",3,0.735369987585767,0.578083216281808,0.424125726140106,"prot-a-2009","Neutrophil cytosol factor 2"
"prot-a-2009","R12_amyloidosis","R12_E4_AMYLNAS","Neutrophil cytosol factor 2 || id:prot-a-2009","Weighted median",3,-0.00908131021123129,0.099818276239325,0.927509729108848,"prot-a-2009","Neutrophil cytosol factor 2"
"prot-a-2009","R12_amyloidosis","R12_E4_AMYLNAS","Neutrophil cytosol factor 2 || id:prot-a-2009","Inverse variance weighted",3,-0.0330051493315505,0.103692627549084,0.750258949768799,"prot-a-2009","Neutrophil cytosol factor 2"
"prot-a-2009","R12_amyloidosis","R12_E4_AMYLNAS","Neutrophil cytosol factor 2 || id:prot-a-2009","Simple mode",3,0.203499923645551,0.212997911035072,0.440199564892604,"prot-a-2009","Neutrophil cytosol factor 2"
"prot-a-2009","R12_amyloidosis","R12_E4_AMYLNAS","Neutrophil cytosol factor 2 || id:prot-a-2009","Weighted mode",3,-0.122901790820497,0.291047956534792,0.713889801439863,"prot-a-2009","Neutrophil cytosol factor 2"
"prot-a-2393","R12_amyloidosis","R12_E4_AMYLNAS","Trypsin-3 || id:prot-a-2393","MR Egger",3,-0.80163525409897,0.547779716414527,0.38162093657295,"prot-a-2393","Trypsin-3"
"prot-a-2393","R12_amyloidosis","R12_E4_AMYLNAS","Trypsin-3 || id:prot-a-2393","Weighted median",3,-0.0682113309534106,0.162188282255923,0.674069981833449,"prot-a-2393","Trypsin-3"
"prot-a-2393","R12_amyloidosis","R12_E4_AMYLNAS","Trypsin-3 || id:prot-a-2393","Inverse variance weighted",3,-0.0483597123375123,0.146924085390884,0.742044115660105,"prot-a-2393","Trypsin-3"
"prot-a-2393","R12_amyloidosis","R12_E4_AMYLNAS","Trypsin-3 || id:prot-a-2393","Simple mode",3,0.0881056122072028,0.2540632662507,0.761840958444185,"prot-a-2393","Trypsin-3"
"prot-a-2393","R12_amyloidosis","R12_E4_AMYLNAS","Trypsin-3 || id:prot-a-2393","Weighted mode",3,-0.175353004309372,0.333092854151242,0.651138344526562,"prot-a-2393","Trypsin-3"
"prot-a-2148","R12_amyloidosis","R12_E4_AMYLNAS","Opalin || id:prot-a-2148","Inverse variance weighted",2,-0.0330422142341229,0.267394369240388,0.901654882166473,"prot-a-2148","Opalin"
"prot-a-2139","R12_amyloidosis","R12_E4_AMYLNAS","Odorant-binding protein 2b || id:prot-a-2139","MR Egger",3,0.190975855768291,0.235187470254469,0.565809650585956,"prot-a-2139","Odorant-binding protein 2b"
"prot-a-2139","R12_amyloidosis","R12_E4_AMYLNAS","Odorant-binding protein 2b || id:prot-a-2139","Weighted median",3,0.12188478177348,0.0866320603915066,0.159449731486083,"prot-a-2139","Odorant-binding protein 2b"
"prot-a-2139","R12_amyloidosis","R12_E4_AMYLNAS","Odorant-binding protein 2b || id:prot-a-2139","Inverse variance weighted",3,0.0933999747150545,0.0806065902232792,0.246572832217362,"prot-a-2139","Odorant-binding protein 2b"
"prot-a-2139","R12_amyloidosis","R12_E4_AMYLNAS","Odorant-binding protein 2b || id:prot-a-2139","Simple mode",3,0.137486989578925,0.118873231391892,0.366925795391744,"prot-a-2139","Odorant-binding protein 2b"
